,O43866,O75015,O75636,P00450,P00736,P00747,P00748,P00751,P01011,P01023,P01024,P01033,P01034,P01042,P01591,P01834,P01871,P01876,P01877,P02647,P02652,P02654,P02655,P02656,P02675,P02679,P02741,P02743,P02745,P02746,P02748,P02750,P02751,P02753,P02763,P02766,P02771,P02774,P02787,P02790,P03952,P04003,P04004,P04275,P04278,P05155,P05156,P05160,P05452,P05543,P05546,P06276,P06727,P07225,P07333,P08294,P08519,P08571,P09871,P0C0L4,P10643,P10909,P13591,P13598,P13796,P14151,P15144,P16070,P19320,P20742,P22105,P22891,P24592,P26927,P27169,P27918,P29622,P35858,P41222,P43652,P49747,P51884,P55058,P61626,P61769,P80108,Q10588,Q12805,Q13201,Q14520,Q14624,Q15848,Q16610,Q6EMK4,Q6UXB8,Q96KN2,Q9NPY3,Q9UNN8,Q9Y5Y7,Q9Y6R7
RL107501RS,14.30027706,11.68376016,14.08901706,16.5445069,12.7086178,14.74674545,13.02362827,15.22890898,17.61076351,18.56100084,14.50501331,12.53042846,12.44538719,15.81776266,12.48406265,11.78725954,15.05955763,12.09750869,11.1209251,17.2831036,14.69302075,13.10706232,13.87331262,13.77188834,11.25724815,11.51911834,15.24761606,12.86423223,13.48227611,13.24762672,14.49313925,15.54395429,13.68336793,14.19380484,17.76052341,13.17272353,9.132404596,16.36586526,11.03647558,16.99162522,13.84806471,11.53513884,14.94688554,14.25370706,13.79701722,15.92395849,14.75166967,12.21979829,14.09081444,13.63689806,13.96091036,11.76433786,15.00881917,13.25959435,12.5047737,12.50040437,10.16373129,12.04729181,14.2930272,12.6210683,15.87803052,14.24425369,8.963675027,12.88340372,8.816718219,13.90710199,11.45417376,13.16870212,12.67266107,9.648856987,12.42911112,12.19890296,10.86733249,10.62939154,12.93719312,12.9320601,13.04290512,13.0618717,11.79363611,14.28698532,11.89470693,14.19397411,13.05825441,13.38187602,12.2732511,11.02987694,11.95858189,13.78116878,13.15660133,13.43755785,15.83818313,13.71099638,12.98856135,12.41913663,11.59236789,10.12526775,12.78151191,13.3790994,15.02919912,12.84667987
RL104601RS,12.48286124,9.878550942,14.98296097,17.30088191,13.52293845,15.2807521,13.19459042,16.42597399,17.93112575,18.0925439,15.78164818,12.86963193,12.02443881,16.27181409,10.86122895,10.07062036,12.93313565,10.47021606,11.00399687,18.23147696,15.29934922,13.95438918,15.65688959,15.54673637,10.95761066,11.15848447,16.2381208,14.81829776,13.41752099,13.45568125,15.68248039,16.29691223,14.84983334,14.65604703,18.14165997,12.72138854,9.068008863,17.37583496,11.56938825,18.03616686,14.72464095,13.52306144,16.10135066,14.05075814,14.34091447,16.00617639,15.84535232,12.04641971,13.35913263,14.20766474,15.05568416,12.27657032,13.48501396,13.41912802,11.25865054,11.41978328,11.35548483,11.25375322,15.00521899,14.84374849,14.6268445,15.0728744,8.331071948,11.67564692,7.962669979,12.41932754,10.77836225,13.1133177,11.08452776,9.519597456,11.24230032,12.28331487,10.30976597,11.54937907,12.94807422,12.09156538,13.859581,13.85287085,11.04889184,14.63810146,10.20387139,13.87160623,12.96397559,12.68279556,11.78678353,12.05758109,11.21004816,12.70284222,12.16747145,13.82955721,16.6147881,11.80909843,11.87368332,11.81127511,10.58881717,11.56044383,12.14060149,12.26613766,13.51994912,13.29736479
RL109201RS,14.95682206,11.13340582,14.17146459,16.98069565,12.57189381,14.86734541,13.15487659,14.89118918,16.60816191,19.05794999,13.42577298,12.10902257,12.92832439,15.78140352,12.59864698,12.05799281,15.35744391,11.19074624,11.89601465,17.7402158,14.96867545,12.92679971,13.46779557,13.81188592,9.793296673,10.01175001,13.05269493,12.358714,14.36391902,14.04965539,14.07458118,14.52920139,13.73884545,14.24181932,16.39931982,13.38709274,8.625843639,16.33070873,11.4345325,15.94937706,13.72587548,12.2136393,15.01048539,14.72600299,14.58166395,15.93299408,14.54827573,12.31878667,14.80406919,14.29565708,13.46599361,11.9416911,15.57350384,13.350917,13.11534923,12.79703767,9.543080354,12.14921364,14.51854329,12.4067232,15.81415116,14.61547137,9.227155853,12.98098475,8.11921073,13.8032267,11.40974064,13.2359729,13.19571621,8.959036351,12.49945005,12.33089471,10.99919133,11.04504695,13.21909491,13.4857944,13.62415791,12.85965771,12.36582653,15.02458495,10.66114013,14.09651833,13.09404043,13.38899728,12.56700813,11.63026138,12.37576955,13.81673678,13.35097299,13.4559245,15.74201311,13.9904764,13.68367468,12.57970015,12.13265018,9.75700752,12.99974649,13.32816801,15.00926515,12.68611026
RL100201RS,14.96538319,11.72942045,14.15119185,17.22317678,12.9315734,14.39667164,12.90090253,15.10768193,17.70414969,18.83896232,14.66379761,12.62695427,12.9417219,15.55961843,13.5618569,12.94944191,15.60365403,14.52125208,14.15940397,15.9675473,14.06369937,11.39866359,12.10999499,11.94172126,10.83901767,11.29279255,15.85148011,13.41951423,14.04764165,13.985778,14.61671374,14.63388789,12.81412381,14.2629237,17.50421069,13.11102459,12.9359888,16.05303381,10.99163753,15.14298773,13.65289136,12.29721051,14.31335354,13.63115053,13.78905141,16.02791658,14.88781999,12.32840858,14.11122542,13.97920293,13.19664193,11.79860666,15.3265404,13.10736679,13.1285337,13.37847115,6.906081979,12.74644026,14.78408099,12.81274558,15.85815783,13.93199826,9.199365994,12.86514434,8.846882287,13.6206934,12.18279122,13.46836093,13.23351864,9.311743675,12.05443377,12.34679644,11.425592,10.7976303,11.65532749,13.49036926,13.13327355,10.57485876,12.32156382,14.02666097,11.28522159,14.21828111,13.02483648,13.52613475,13.24178974,9.623737079,12.22640449,14.32862298,13.66034806,12.9494099,15.91199608,13.5358317,12.32683261,12.81893646,11.84423494,8.97051657,13.54933647,13.15316767,15.54141801,14.11117482
RL108501RS,14.35696019,10.02570767,14.48465017,17.17093208,12.63876699,14.92847102,13.04938609,15.63606218,17.06617117,19.27094458,15.11338741,12.46763963,12.50919784,16.30377274,12.78203166,12.36358244,15.77413216,12.41150232,11.93357732,17.97775408,15.72139879,13.34797539,14.3929888,14.3808878,10.58586328,10.97872457,12.66649246,13.54268647,13.47160394,13.52968239,14.52057882,15.03535091,13.19290567,14.52961562,16.96575924,13.25297129,8.165367147,16.56031993,11.48842058,17.4910617,14.22433416,12.58480436,15.21405071,13.26769501,14.47040264,15.98477233,15.27260467,12.38060113,14.12645348,14.34638037,14.31331708,11.96528284,14.30713227,12.84320425,12.06085629,12.27221149,11.51110511,12.0523693,14.61339267,14.13307323,15.71118136,14.61815036,8.746399545,12.29941375,7.713266118,13.34144218,11.08815267,12.83309622,12.70881263,9.033594916,11.76623294,12.10841233,11.0691056,10.97460113,13.69856075,12.31599022,13.8046128,13.02025257,11.8773914,14.52081889,10.75960258,14.10505902,12.87344292,13.0061769,12.01287261,11.93512644,11.6272911,13.45936203,12.51938125,13.29608168,15.83552971,12.94697456,12.11029114,12.1227353,11.07144257,10.25698136,12.85848656,13.25746421,13.86547203,12.9811715
RL110101RS,14.49748479,11.17309578,14.3323242,17.39387541,12.96039778,15.17187259,13.43655771,15.5539514,17.44375898,19.79713784,15.24282611,12.53028288,12.25935463,15.95544525,11.74667053,11.24712872,13.94991026,11.3618934,11.74379486,17.67164376,15.24922213,12.98741573,13.28048703,13.36756877,9.543484325,9.83348442,13.43610358,13.28091071,13.23644923,13.12155642,14.33860697,14.5288268,14.2431524,13.62559708,15.92517469,13.64489015,11.08063185,16.33775216,11.86519772,16.96743981,13.76062376,12.27575798,15.09400725,14.25790216,14.88644315,16.3474416,15.00643748,12.20101527,14.58650628,14.00233244,13.49078202,11.63375767,15.18023406,12.76957729,13.13973626,12.64052205,9.20610574,11.90638378,14.75228937,12.4853019,15.88272439,14.52013429,8.552180533,13.09052547,7.073197529,13.85846103,11.58174591,13.41731022,12.7939984,9.898584606,12.66063188,11.89613022,11.0688576,11.33029919,13.54210473,13.02476621,13.34664127,12.15458253,11.80334376,14.92530745,12.05841636,13.99904687,12.73919564,12.91474545,11.80228608,11.95592519,12.20012295,13.37752225,13.28893957,13.38168884,15.87718626,13.42512869,12.85486337,12.58062051,11.75223102,9.996558217,13.24272461,13.05957796,15.00521776,13.25499214
RL103201RS,13.41307058,10.49356097,14.25148139,17.28938043,12.0957003,15.22824825,13.46816619,15.79825807,16.95626626,19.1305408,15.26446094,12.24876284,11.96023772,16.47075813,11.67544978,11.01927732,13.89802455,11.75784298,12.52934632,17.8064506,16.03521924,13.78561072,14.95535889,14.92501586,9.866055012,10.18589475,11.7769676,13.92741578,13.43265843,13.3758875,14.75994703,14.8346088,14.26185071,14.64913989,17.23913877,13.1244073,9.597671107,16.88682942,13.35916727,17.6438714,14.70885022,13.10059652,15.4227469,13.93750097,14.71460292,15.38885708,15.14824761,12.57351049,13.66542244,14.365768,13.97492096,11.93036623,14.63778282,13.14595606,11.87508475,14.41958662,11.64395526,11.79524581,14.34851363,13.18820979,15.91066641,14.66458159,8.425334649,12.15677933,7.760925613,13.37461727,10.83787308,12.62025759,11.9858676,10.2021816,11.62401233,12.35591579,10.47297999,10.80100616,14.18784347,11.74679589,14.06993888,13.33706825,11.86399047,14.56564673,10.76938238,14.04024904,12.74003672,12.81777812,11.62594726,12.46777767,11.60919183,13.15317243,12.18286675,13.47592136,15.83864393,12.93852821,12.7450214,11.97136839,11.42109386,10.35466842,11.8747753,12.20135854,13.94165036,13.07705172
RL107101RS,13.16818352,11.67015637,14.73507902,17.14597573,12.80457554,15.20358675,13.44949114,15.81225496,17.51161039,18.68752045,14.9446573,12.4495984,12.19028323,16.29386342,11.66114759,11.52738414,14.343514,10.30160817,11.83575739,17.90421132,15.79791119,13.04849835,13.92929488,14.72155259,10.0359841,10.40556225,15.59442594,14.26231318,12.78522982,13.10185634,15.10850217,15.33956826,13.22911625,14.10821249,17.67082775,12.70738801,11.39576587,16.88251939,12.10754487,17.29606225,13.99652955,13.40027552,15.45333324,14.00835518,14.65467501,15.63902299,15.19752914,12.56653213,14.03482648,14.53310979,13.90141934,10.97478408,14.62034403,13.09185533,12.45723608,11.74380954,10.28568568,12.38303045,14.52272402,12.00091399,15.79134468,14.53797207,8.31619672,12.45249434,8.465371529,13.32339072,11.46847896,12.99543151,12.37268103,9.882045879,11.89515323,11.43387938,10.81247806,11.34307682,14.46912501,12.79317998,13.50399876,12.38150003,11.78556071,14.35960444,11.19773347,13.87136425,12.96405502,13.29134342,11.81244247,12.06423313,11.40403407,13.5478652,12.40333102,13.51695952,15.88239128,12.56175275,12.85710847,12.3425973,11.47287198,9.855840481,12.56571941,12.56287772,13.99327114,12.91039469
RL100501RS,14.62575163,4.989584184,14.03520031,17.40927313,12.50995383,14.96216806,13.11865927,15.48994362,16.98979844,18.98890573,14.12886122,12.21113554,12.50950805,16.0801516,13.61813166,13.15658954,16.49952833,12.02675437,11.76685057,17.96354932,15.73392149,13.08318716,14.24438458,14.51126755,11.07615178,11.34573364,13.15589013,14.31169105,13.48903112,13.47365403,14.71448807,14.88383891,13.70450976,14.58391205,16.84722647,12.7756892,9.350483217,16.51310683,11.65129984,17.31279753,14.27557598,13.08773292,15.26026632,13.83069322,14.86448351,15.76986938,14.87286377,12.34453934,13.92726343,14.57002359,13.8650348,11.53631972,14.64021399,12.94558594,12.56455726,12.66612634,10.70510078,11.94405552,14.41818921,12.51360057,15.69277757,14.63420971,8.689147552,12.302001,7.875557335,13.3517903,11.42427411,12.99249937,12.37289194,9.828269373,11.97249293,12.19760668,11.10593497,11.04364347,14.20386393,11.62094173,13.81622834,12.53649789,12.41976881,14.81165337,11.88752454,14.24152461,12.97599249,13.49309984,12.51762418,11.59224777,11.47834111,13.79719643,12.91963448,13.59625401,16.03964046,12.78675486,12.51450391,12.19692476,11.18042447,9.648399223,12.64998591,12.57106642,14.03000327,13.04149848
RL109301RS,12.69617039,6.685408517,13.67716167,17.02078262,12.95713377,15.2260098,13.4831964,15.62683248,16.76527269,18.90990916,15.35846954,12.31513214,12.21644844,16.21767819,12.19811427,12.06540004,14.51717154,13.48001931,12.22311252,18.35096467,16.01183893,14.19071491,14.94042731,15.47518719,9.437382917,9.798697715,13.29310227,13.90918941,13.50729219,13.62106714,14.38873955,14.79656611,14.25670555,14.55109896,16.7587637,13.28279847,8.255339199,16.58949313,13.46527922,17.41260806,14.3500744,12.96228873,15.49840907,13.38564922,14.48840198,15.53798144,15.30271033,12.74960919,14.26175371,14.26820363,14.20022476,11.99822203,15.40773071,13.07855907,11.61717503,12.11558692,10.63156646,11.67458021,14.56407695,12.8403438,15.28325386,14.84849558,8.869256507,12.11096632,7.876237181,13.42524277,11.43265265,12.9536084,11.61943758,10.24824308,11.88787305,12.09127502,10.89625468,11.0580863,14.13777328,12.23879221,14.0247709,12.97787024,11.79938152,14.65168705,11.74520695,14.35731057,12.96325256,13.00707123,11.60773598,12.53060515,11.43939661,13.61245621,12.30374024,13.63504704,15.90195395,12.81599638,12.50658612,12.15502173,11.53383099,10.2505899,12.61890841,12.78810731,14.00201711,12.7379684
RL102201RS,13.82602071,11.81381367,14.19381493,17.42799466,12.99133125,14.18916977,13.09251397,15.2981108,17.88912895,18.91739271,14.5837605,12.435334,12.67182462,15.80732261,11.81103506,11.51341773,14.60280636,10.65838428,10.9795606,17.98740672,15.07366817,12.14470601,13.58407405,13.6799562,11.59977649,11.95611001,15.90108073,13.73219598,13.72108399,13.75902509,14.96481112,15.71722374,12.83140833,15.1262275,17.70716388,13.29079134,8.044188173,16.11072611,11.61151425,17.64702786,14.07116756,12.08645421,15.27129343,14.15788507,13.90360315,16.09220652,14.93195351,12.38478126,14.0592175,13.98833104,13.93420484,11.60348061,14.80515298,12.85609784,12.57312034,12.69138701,9.649637966,12.1417364,14.58899269,13.1372653,16.00898499,14.65575102,8.541966235,12.50739682,7.629136444,13.87126269,11.40432318,13.12172642,12.44899106,9.769818353,12.21600316,12.07916149,11.3838672,10.62953872,14.11433246,12.22992246,13.56475301,12.52819456,12.42535191,14.26030895,11.45725363,14.59119202,13.02040476,13.66962088,12.48778775,11.34606779,12.14615303,13.67683791,13.0923593,13.62280055,15.70718433,13.17193063,11.96099423,12.66653031,10.38712124,9.996835209,12.81494245,12.58605057,14.50289476,13.24413956
RL108401RS,14.06171117,10.60170871,14.68511169,16.9206744,12.6911771,15.21238384,13.43174639,15.83166796,16.31688084,19.44218244,15.32461535,12.10644154,12.17596036,16.28566164,12.42278054,11.65060258,14.89107682,11.88662761,12.43840841,18.32985923,16.42094141,13.54296473,14.73088344,14.71317765,11.37217546,11.68578302,10.2510706,13.86754939,13.17670044,13.22599761,14.10630958,14.148098,13.45339783,14.64582805,16.31393233,13.40661726,8.824757688,16.4796167,10.7230862,17.12682306,14.29505754,12.34890975,15.43549733,13.48496503,14.70901795,16.00863451,14.78114374,12.69599301,14.18952857,14.50867896,13.9716333,12.11917361,14.77826658,12.65520662,12.33182075,11.77642728,10.92014675,11.91030901,14.26053351,12.86144106,15.22248394,14.92037328,8.355360179,12.54706389,7.892846199,13.27879077,11.15621083,12.96291796,12.1958162,9.935181436,11.91949872,12.50308679,11.08809923,10.66971318,14.29576732,12.24123719,14.10148559,13.20070515,12.10026505,14.76901528,11.48947429,14.23002369,13.01442588,13.06074562,11.83510495,12.52047018,11.59310712,13.39756769,12.29125979,13.45317585,15.72156483,13.104977,12.19232137,12.3566447,12.25456259,10.39265582,12.44920718,12.46501532,14.13686197,13.09753346
RL104401RS,14.39700834,11.59247238,13.92306757,17.1750137,12.61171398,14.94700123,13.41739306,15.11342346,17.02272892,18.89784604,14.47793596,12.0387021,12.58275862,15.86283758,12.79598256,12.40944274,15.59449918,13.13590285,11.03077323,17.64301265,15.18198123,13.10642161,13.99439567,14.24780777,10.95003715,11.29818614,14.95740926,13.81497974,13.44575831,13.61028071,14.44787069,14.8634497,13.33924482,14.05559077,17.46065048,12.95062015,9.22532719,16.38886552,11.50787351,16.90353558,13.9766393,12.94954146,15.19223865,13.73030892,14.24481621,16.05293547,14.81786553,11.87920963,14.09231773,14.00017118,13.57151554,11.69965286,14.40090281,13.14059404,12.6967125,12.46373327,9.328172691,12.10259384,14.34208561,13.06607266,15.77564369,14.47137599,8.948646807,12.45926657,8.655836243,13.74265853,11.25323876,13.07819838,12.45366256,9.190718574,12.09770167,12.12599407,10.85997608,10.69617878,13.53638162,13.0112597,13.26890254,12.53178278,12.31154984,14.09035557,10.97964593,14.27859377,13.01920965,13.18643453,12.43225646,11.63283158,12.1227074,13.74738809,12.59541641,13.2712062,15.76606805,13.37065311,13.07310039,12.36503896,10.83992072,9.983341847,12.61748996,12.50653164,14.4905704,13.19794737
RL109601RS,15.00484471,7.62189328,14.23444178,17.79186799,12.26809059,14.39756227,13.14188984,15.36440119,17.3440219,18.97099722,15.66179771,12.37271379,12.87909942,16.37214084,13.24702182,12.67755004,15.82116272,11.59817614,11.01803866,18.0309332,16.38759264,13.67049164,13.99269471,15.19368172,8.85044641,7.993233318,14.03715889,14.10054771,13.82831818,13.90475886,14.59579155,14.46489521,13.1788695,15.53754812,17.86432957,13.35909604,8.364054076,15.89021138,12.28344453,17.84325338,14.14382449,12.31773987,14.79593461,14.21366448,14.43892908,15.73524775,14.69367276,12.92822366,13.86411267,13.57692444,13.94791863,12.07332707,15.61917327,12.51633085,13.19708597,11.17795488,10.48594599,12.19366614,14.28890038,12.69368776,16.19635699,14.67987083,9.077080094,12.40068031,8.533287068,13.44288213,11.34590971,11.54142059,12.83264572,8.803758597,11.93449304,11.75164577,11.05757717,10.22011327,13.74752955,13.13535361,14.47524648,12.6348319,12.46713906,14.54302505,10.01076468,14.34711004,13.57775685,13.70018576,13.20929847,12.06734683,12.20937116,13.26307956,12.72964593,13.75766976,15.79687199,12.62300252,12.09605696,12.68551653,11.18909643,10.09895854,12.44926552,12.20038377,13.82106465,13.77170969
RL100601RS,14.7542048,11.88150137,13.79594158,17.21303131,12.69393416,14.80831015,13.17582939,15.35970912,17.20481752,18.72949089,15.4635493,12.38059574,12.2341051,16.09664671,13.15558253,12.70018033,15.19662152,14.17079567,12.05041622,17.41829944,15.57423434,12.89137159,12.75816236,13.01530808,11.63199909,11.78585226,14.37369747,13.40708451,13.32748251,13.84445515,14.54187658,14.4225494,12.93450194,14.44733088,17.73191767,12.88541726,8.278142993,15.50613586,10.65883329,16.80882286,13.70397269,13.21901204,14.42703441,13.68979264,14.67716635,16.30096389,14.68270451,12.67527749,14.20469043,13.75214708,13.52385754,11.10880654,15.16612005,12.77909095,12.89733468,12.48330805,11.1058682,12.28560598,14.30564013,13.15117036,15.59889209,14.45963554,9.135703202,12.68073564,8.721152964,13.27409963,11.81977711,12.51692747,12.41767028,9.108336492,12.14484521,10.70080159,10.97744919,10.59025013,13.8188044,12.59081746,13.51781027,11.76901484,12.26922867,14.5903217,11.81049778,14.77554669,13.20621956,13.16212942,11.97747848,11.63875602,12.27200483,13.89239048,12.45869406,12.97218225,15.64502363,13.34141063,12.1854707,12.74227564,11.94093844,9.706686817,12.40270514,12.78046761,14.4676913,12.77940037
RL108701RS,13.248269,9.823346878,15.14315322,17.53363577,12.70175048,15.39937045,13.49681299,16.39814204,17.31379235,19.31155999,16.15941681,12.0669388,11.48374465,16.74884273,11.54101055,11.03045243,13.89475871,11.16112214,11.86320006,18.73513594,17.17805479,13.83208095,15.01125949,15.4654957,8.279302131,8.848839563,12.24890775,14.65992072,13.38739479,13.53679959,15.13492974,14.66358556,13.9626401,15.65043076,17.74578854,13.56512647,14.29316828,17.38228267,12.86204605,18.17003553,14.9600033,13.93149676,15.57649461,13.28681227,14.67890808,15.98885449,15.23755772,12.6400434,13.87418564,14.58090143,14.58908793,12.55294017,14.41797341,12.9312105,11.42431697,10.80722678,12.18454862,11.78685967,14.46042917,13.13292236,14.90480792,15.24845576,8.655615597,11.78287348,7.976797963,12.61051206,11.36363932,11.39048403,11.20460782,8.344606452,11.0644293,12.744479,9.991331541,10.43717156,15.07512449,12.4650254,14.41937696,13.80640182,11.47156103,15.06275793,9.970221889,14.16386295,13.0317459,12.38793074,11.21932096,12.30961406,11.26316218,12.30164294,11.4321494,13.80386799,16.2411496,11.9387312,12.79812062,11.9851453,10.39446237,11.46976844,11.46830552,11.57758552,12.87046374,12.43505699
RL104801RS,13.2426354,10.15566422,14.07821495,17.84654694,13.22368016,14.97473426,12.79866077,16.04797098,18.07050427,19.30143203,16.26900509,12.20805295,11.69949968,16.39532469,12.55547012,12.13541804,15.0807009,12.36475853,12.02460167,19.41504207,16.34350912,13.01103516,14.27062944,15.25210259,11.18646759,11.23739117,15.63498965,14.38075168,13.37314496,13.98594906,15.61926657,15.20402011,13.36296056,14.46980979,18.82545288,13.20180113,8.718826107,17.40454372,11.29470531,17.88525369,13.7734754,13.56933546,15.39210273,13.94753367,15.09060126,16.27572466,15.47431539,12.74885254,14.60875553,14.36274436,14.1057136,11.84796659,14.87813002,12.63972668,11.46656128,11.38026013,12.4289182,12.09611803,14.75775453,13.9862759,15.43755663,15.02591309,7.215323812,11.79662676,8.336495496,12.71127035,11.45299095,11.37630413,11.89779807,8.261955632,11.61315172,11.62566615,9.932110515,9.201088674,13.63411383,11.92156136,14.00297039,12.66318252,11.63682452,14.61078094,10.52111718,14.47438114,12.8978081,12.39204119,11.45873508,12.02672566,11.27852569,12.13520011,11.60119021,13.09157078,16.16870387,13.13378562,12.31288604,11.99922002,11.29678004,10.64467545,11.43970887,11.88355672,12.99057621,12.5972067
RL110201RS,13.84818816,11.12555313,13.69288578,17.61520633,13.03591169,14.4323527,12.35097087,14.9155597,17.5739952,18.88822766,15.00196323,12.22703209,12.54525861,16.32661399,13.68394193,13.53902996,16.08826314,14.669872,12.32114321,17.19691125,15.32920558,11.61218616,11.49495943,12.50153602,11.05805193,10.77360948,15.39296013,13.50855658,14.14255032,14.60067881,15.02098757,14.60442219,13.45987691,14.34957859,18.38232291,12.94184077,13.2119866,16.40698317,11.9930868,17.30533479,13.51792241,12.96728396,15.06446517,14.31913939,14.6663192,16.17679618,14.75763319,12.6192012,14.20075231,13.78642227,13.45930858,11.35586312,14.85639904,12.84051984,13.275656,11.75390076,9.519714466,12.68852074,14.42582037,12.85215866,16.05849975,14.38606545,7.668481369,12.97471542,8.316540948,12.94611477,11.46190233,11.96990832,13.12181763,7.544771633,12.02258633,11.59839513,10.33219124,9.369506272,13.01843137,12.33802131,13.26867146,11.37945366,12.71065018,14.23319769,11.64614254,15.07310833,13.30534058,12.9516314,12.4977084,10.98591562,11.9699869,13.34439043,12.65493292,12.51446245,15.80256634,13.29104338,13.0839027,12.8567561,11.57546839,9.92093706,12.39631275,12.76931803,14.13131633,13.58670445
RL100301RS,12.76065188,11.39766698,14.42005162,17.27610671,13.0468996,15.05729099,12.80434373,15.93990894,17.5444391,19.15781373,16.22182046,12.32325043,12.28588013,16.49101407,12.12058536,11.72695941,14.6442617,12.24710899,12.50504825,18.83577858,16.76838923,13.37740557,14.24099098,15.55175773,8.674523984,10.16693738,13.69825465,14.63136201,12.99353564,13.62003813,15.27034089,14.41515504,13.85259452,15.32008284,17.99463505,13.41223586,15.37265906,16.95737613,12.51205498,18.18548676,14.04417582,14.00738027,15.60320475,13.48312045,14.462329,15.85985416,15.09135104,12.81322733,13.83052973,14.49739669,14.84104125,12.07298431,14.57347603,12.75505821,11.77685027,11.08326192,12.48743651,11.82877106,14.48131495,13.17905408,15.17243117,15.34870835,7.405517574,11.87346095,8.032801598,12.30983806,11.62577649,11.62325994,11.60002745,8.372794162,11.12301664,12.05485296,10.22684227,9.876060481,14.28510957,11.98768057,14.08779758,12.96155395,11.8978297,14.50116934,9.858365874,13.79710562,12.90229871,12.94183118,11.90115218,12.6143374,10.36798628,12.13806448,11.44746622,12.97790694,15.82022941,13.11048178,12.25310851,12.13984833,10.82250011,11.18275413,11.25369185,11.90006225,12.97675115,12.20977692
RL101301RS,13.11137481,9.961528433,15.01488926,17.431801,13.2702396,15.23823834,12.73576975,15.98699541,18.13159125,19.04986268,15.94418028,12.80354483,12.45162728,16.62692241,11.57149425,11.18643568,13.64635582,11.94277351,12.16243226,18.31218917,15.96762664,13.51336681,14.40936245,14.88362272,11.67583917,11.91536621,15.28347068,15.17870182,13.46252724,13.97425392,15.71778221,15.55642221,13.49324928,15.52718797,18.51721782,13.33214097,10.67393735,17.65605594,12.07276985,18.28857184,14.46984395,14.08579936,15.71182352,13.25022845,14.26057921,16.17043648,15.59534246,12.89645245,13.7403574,13.93893568,14.63695492,11.64925849,15.07489154,13.58071889,10.89010321,11.39389839,12.30829309,12.04762074,14.78199656,14.10672544,14.88449766,14.99800289,5.15047484,11.88838074,7.342153072,11.72924343,11.23839297,12.14859453,11.41823089,7.896018016,11.15968609,12.37085086,10.3445283,10.60384609,13.99087931,11.11794696,13.72263275,12.08712425,12.23024617,13.91293369,9.399571305,13.90255559,12.7509883,13.09254711,11.76213796,12.56178058,11.06260362,13.12378688,11.91666228,13.35997477,16.39279262,12.91893394,11.36859348,11.96920044,10.96822841,10.55908264,12.08027348,12.1728928,13.57615357,12.48951439
RL105001RS,12.92072002,8.637630635,14.4160766,17.24879626,12.95600605,14.56981061,12.90896048,15.39306176,17.14993354,18.93295162,15.30409639,12.81299482,13.10325165,16.34992662,13.12234048,13.3725634,15.62222883,14.4590059,13.15049766,18.6190655,16.25096129,11.92841916,12.73933595,13.79371662,10.75266447,11.28591907,12.08191591,13.26057384,12.98487074,13.90455604,14.7201171,14.23971277,13.96159959,15.05942673,18.07990796,13.79294536,8.0555325,16.91094396,11.26047908,17.72808856,13.98214068,13.36099961,15.2284883,13.94251035,14.32817719,16.15862096,14.7978947,12.92337726,13.97128189,14.34647354,13.63167103,11.67006701,15.47123563,13.1891873,12.82805479,11.38594538,10.60184169,12.58158197,14.56563099,12.30637137,16.16983615,14.61433684,4.914973999,12.88798264,7.952290612,12.75351331,11.56034451,12.6145623,12.73540322,7.968792374,11.63214867,11.29813727,10.58470884,9.288123639,14.09158353,12.06633321,13.44604613,12.9439722,13.36779986,14.91913869,12.29991726,14.4842164,13.10282892,13.90216221,12.92195619,11.99270553,11.59693206,13.11019102,12.41777988,13.06059882,15.57369976,12.71598547,13.11122915,12.91172356,11.30803716,10.83354157,12.50611284,12.77182909,14.03176415,12.33645074
RL108301RS,14.54685027,9.872276468,13.01986174,17.14486931,12.72572169,14.97881558,12.50159859,15.33666824,17.28468672,18.62267039,14.63800803,11.97389085,12.28667386,16.06532362,14.07123595,14.76524371,16.47596109,15.24232017,13.25985247,18.30262018,15.80200176,12.82819164,14.58238357,15.49619085,12.78803187,13.27125805,14.44255522,14.05711546,12.86155676,13.19037913,14.84640299,14.8567675,14.12261692,14.19775492,17.245303,12.80070401,7.548180252,17.11466616,13.42603971,17.64965986,13.64203892,13.45005726,15.15108739,13.65411549,14.41127848,15.71383683,15.22256131,12.10231105,13.89379369,14.1591714,13.83215499,11.64771296,15.33784779,12.95148059,12.2153675,11.96361679,9.893223769,11.99393845,14.28467559,11.92858308,16.24846178,14.31075337,7.18819661,11.84154068,7.644761941,13.07003876,10.82981306,12.11193436,12.36805067,8.722793599,11.86557588,11.22695896,10.52515137,10.20412788,13.65235322,12.26347575,13.93593198,12.55369747,11.73637659,14.32052291,10.81084731,14.31840817,13.28940914,12.46588041,11.90854176,12.14074176,11.10913377,13.26347628,12.49331019,12.92145687,15.97570719,13.14427646,12.40889046,12.16899109,10.3166864,10.2450826,11.98968559,12.1909465,13.61032819,12.85744469
